Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.98,0.999562295402046,0.9804070897280007,0.98,0.9800189760229184,0.9778197272281988
Decision Tree,0.8555555555555555,0.9197495496232266,0.860155461216269,0.8555555555555555,0.8553800087635848,0.840053177993787
kNN,0.9822222222222222,0.9998082249332709,0.9826186027610054,0.9822222222222222,0.9822333265219131,0.9802883250297301
Naive Bayes,0.8622222222222222,0.9805115075941487,0.8749756261808841,0.8622222222222222,0.8622790673957648,0.848484185263421
Random Forest,0.98,0.9997532879414067,0.9801976741409366,0.98,0.9800258668136833,0.9777931420628876
